AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
171335,030-001.,113.09834,7.09611,113.09666,7.09722,9747,232,12,277,2.43,0.09,15.2,2.35,142.1,2.5,10.06,0.05,1
170772,087-006.,113.18833,16.89639,113.18542,16.89694,2407,66,8,85,0.81,0.09,6.1,3.64,36.1,2.3,8.39,0.09,1
174583,........,113.28542,7.99806,113.2825,7.99056,16877,213,59,239,1.56,0.07,12.0,1.98,244.0,2.2,10.34,0.05,1
3912,030-002.,113.5525,4.55,113.5525,4.54639,1239,154,5,192,15.27,0.08,109.0,2.52,19.3,2.3,9.13,0.11,1
174841,........,113.64166,17.37083,113.64666,17.36861,4920,247,4,258,1.4,0.08,9.5,2.1,71.6,2.4,9.23,0.06,1
174782,........,113.8175,2.73889,113.81709,2.73583,13344,139,6,157,1.15,0.08,8.4,2.6,193.7,2.3,10.01,0.05,1
171158,........,113.82083,12.43083,113.81084,12.4375,12051,199,5,209,1.63,0.11,8.3,3.12,175.0,2.2,10.07,0.05,1
174478,........,113.8325,12.06139,113.83958,12.07583,12105,210,36,221,0.96,0.08,7.3,2.01,175.8,2.3,9.84,0.06,1
174697,........,113.88542,6.43972,113.88625,6.44611,9755,133,7,138,0.66,0.06,6.2,2.06,142.3,2.2,9.5,0.06,1
170209,058-009.,113.90791,11.7025,113.93083,11.70944,4978,281,13,346,10.42,0.11,58.7,2.36,72.8,2.2,10.11,0.05,1
3925,N2416...,113.9175,11.60167,113.9225,11.61167,5129,185,12,218,4.87,0.12,21.8,3.67,56.2,11.8,9.56,0.19,1
174479,........,113.92167,16.13222,113.92292,16.12139,8997,178,5,200,1.39,0.08,10.0,2.31,131.3,2.3,9.75,0.05,1
174584,........,113.93709,11.27139,113.93208,11.265,12228,211,6,229,1.17,0.08,7.9,2.27,177.6,2.2,9.94,0.05,1
174735,........,113.97833,2.19889,113.97833,2.19278,6476,176,4,193,3.68,0.09,24.4,2.54,95.6,2.3,9.9,0.05,1
174480,........,114.00333,14.28472,113.99333,14.27944,8593,269,57,370,1.8,0.13,7.7,3.18,125.6,2.3,9.83,0.06,1
174481,........,114.00708,13.54667,114.00999,13.53806,4770,50,8,87,1.13,0.07,11.5,3.05,69.8,2.2,9.11,0.06,1
174585,........,114.03999,9.99556,114.04292,9.98639,356,21,6,35,0.54,0.04,9.2,2.7,7.9,0.8,6.9,0.1,1
171478,........,114.0675,12.87861,114.06791,12.87861,5140,199,3,213,2.19,0.07,16.5,2.1,75.0,2.2,9.46,0.05,1
