ra	dec
1.236202338651152957e+02	1.103024028758629704e+00
1.396951324212062957e+02	1.484118605926246559e+01
1.207982538116781939e+02	1.653243058949968036e+00
1.144108122668320817e+02	1.439813046947175224e+01
1.448769988821421180e+02	1.192627730517322071e+01
1.492502941214634689e+02	1.706578347152148112e+01
1.306463466887277889e+02	1.432069423346635562e+00
1.329179632137345664e+02	7.790702287001136206e+00
1.167779251747258229e+02	1.699912308268489625e+01
1.371323413550897499e+02	7.145084093904200628e+00
1.498713295764182476e+02	7.504574952498718865e+00
1.467099045563087714e+02	1.437647639917049602e+01
1.250793685628489840e+02	9.592767967770468474e+00
1.175016028542291906e+02	1.171951217710948345e+00
1.338432290038873020e+02	4.495995850461332211e+00
1.139225848890604595e+02	9.546422770482572151e-01
1.169296652989414156e+02	1.444071900884513049e+01
1.452590144093665572e+02	8.861784584439952539e+00
1.303665267040063327e+02	1.092352050136935837e+01
1.354963170143742559e+02	3.196020103016335767e+00
1.275412115644820688e+02	6.641323054548671223e+00
1.485736100266939275e+02	1.306224510935156324e+01
1.297969077290172208e+02	1.208747828911682731e+01
1.417994019119945222e+02	1.003949366064133564e+01
1.389496686287018576e+02	5.912067382597105514e+00
1.298364107671930299e+02	8.167239171776685680e+00
1.360694630506388023e+02	2.081168096626500486e+00
1.255757866089234653e+02	1.354421914536341731e+01
1.270936692432276658e+02	1.167087046866980771e+01
1.401468326555271915e+02	1.785258206392527924e+01
1.231770744909041895e+02	4.343097857021997577e+00
1.438641799011153353e+02	1.186556610676942647e+01
1.423380650650439350e+02	1.224142938957849935e+01
1.543912128363563738e+02	7.871579273281820832e+00
1.520898464625277029e+02	6.632361237713143787e+00
1.456493385755363761e+02	1.249648284271671272e+01
1.312818268208770576e+02	5.758662388435548785e+00
1.239617968388368467e+02	1.751915219742197038e+01
1.423284547863002558e+02	1.977968334678346984e+00
1.258113740381053276e+02	6.138442537237206231e+00
1.179553268713766983e+02	6.085566707882859028e+00
1.537950909839929636e+02	1.497008916870395367e+01
1.544195945451212140e+02	8.094944211615578311e+00
1.299427779883963296e+02	6.925346717029158272e-01
1.284882027910006173e+02	1.023720302194498544e+01
1.501878446918814802e+02	7.441820645497162268e+00
1.448143760278219077e+02	1.392107953189362846e+01
1.376032724837366459e+02	2.457999028863144253e-01
1.332736488867394371e+02	2.724067781239049690e+00
1.473619116344662530e+02	2.247383428900201263e+00
1.396109177903213379e+02	4.377871587073707715e+00
1.387751988165036323e+02	1.371109771446427139e+01
1.319012697076750555e+02	1.579175253601131779e+01
1.449261551986112124e+02	1.651264542002387259e+01
1.205080786606401517e+02	7.610224611507979908e+00
1.367461470439795903e+02	1.679845718170489732e+01
1.343359959641453543e+02	1.561874207605212739e+01
1.405876643364731535e+02	9.012081598590683029e+00
1.432745008883243258e+02	1.716883778920725234e+01
1.244998919911959376e+02	1.298033310933135809e+01
1.144947586504503363e+02	8.158250253526453832e+00
1.424811940450231020e+02	2.701961987373656449e+00
1.365937544329114246e+02	1.456402519062325318e+01
1.409423298724782967e+02	5.948759201012002729e-01
1.250359146955175191e+02	1.757259363995725110e+01
1.257370484973795044e+02	5.998183586138078560e+00
1.462617510305325084e+02	1.175114243879943388e+01
1.471916402078026636e+02	1.364189954089394341e+01
1.366849152357220873e+02	3.730931500977037740e-01
1.521031291356239024e+02	8.635730735341782704e+00
1.345248273896829119e+02	6.618543429988546833e+00
1.430571171209459180e+02	1.087403662037286622e+01
1.148446403563871314e+02	1.353201772536644576e+01
1.432360094732608502e+02	7.248275973424226137e+00
1.345765596143341725e+02	2.946874610439863540e-01
1.385248044368123317e+02	1.134983347438930368e+00
1.278485942900817633e+02	1.653105734577564334e+01
1.491757649081326065e+02	1.364797541004160664e+01
1.460351334427686538e+02	1.779502091575999501e+01
1.220780083094481370e+02	9.155418925193903323e-01
1.468135710485156551e+02	1.067940130485594175e+01
1.210894737626263264e+02	3.496862038049840304e+00
1.153356816286231492e+02	5.309166219230320172e-01
1.137313736726048603e+02	1.194911887989578325e+01
1.319076386023784266e+02	1.388430819974598940e+01
1.517025740791292492e+02	1.351155558882164520e+01
1.390673859093353144e+02	5.950327922514461854e+00
1.445246494294769377e+02	4.291871489893839708e+00
1.518071955393986059e+02	1.547630480208411541e+01
1.182949763566304284e+02	9.364846873436286856e+00
1.496136616780808026e+02	8.193847016669275618e+00
1.140343910980380713e+02	1.214771775126309805e+01
1.475528151295664543e+02	1.515579664476852706e+01
1.459413003534544657e+02	6.426341082944476923e+00
1.289189489903554033e+02	1.743541391285357633e+01
1.493093530977944852e+02	1.291775721672051169e+01
1.239451084126960296e+02	1.225624352473356637e+01
1.337508421484976679e+02	1.732732835734934473e-01
1.138578586375849682e+02	1.762968194531023158e+01
1.340285097672113466e+02	1.167975409283444144e+01
1.140584597176107025e+02	5.221167417953017420e+00
1.467556497603223988e+02	1.113087769026224549e+01
1.491126320714574547e+02	6.449693094150460659e+00
1.248830660043690841e+02	1.509477546478334631e+01
1.496426112051606765e+02	1.652397306801883659e+01
1.392714148792364881e+02	2.607528688717040619e-02
1.336566208807678038e+02	1.366707863697182779e+00
1.261480076720490757e+02	1.189563764004597424e+01
1.250169064794450264e+02	1.595173143862812637e+01
1.270014456072707389e+02	5.659570928198233375e+00
1.515393450622117939e+02	5.770181570357063805e+00
1.445215022637785864e+02	9.719497375869012856e+00
1.314447685484433919e+02	1.241511577394111043e+01
1.436595806425478941e+02	1.282778014257868548e+01
1.488466058058494355e+02	1.274460180377517027e+01
1.491649630234846029e+02	1.039716988472472181e+01
1.454081459664033673e+02	6.890976434227439995e+00
1.247864574599905438e+02	1.653094560978267324e+01
1.261120872145102965e+02	1.711531623032443505e+01
1.504233503172361566e+02	1.539342657123750335e+01
1.144618077635047655e+02	1.040251320231782728e+01
1.304499437465642302e+02	1.304256860334491952e+00
1.546127841350734684e+02	1.598260566898938606e+01
1.447889652672656950e+02	2.632230579143243432e+00
1.134905477883986435e+02	4.944009385026875592e+00
1.520864729767829999e+02	1.228885575939550723e+00
1.363670199788067237e+02	1.327718367919723796e+01
1.504895562576806753e+02	1.488478836063563548e+01
1.262686595542791963e+02	8.143236863976923701e+00
1.536529226828523349e+02	4.247443342234735297e+00
1.131619846065793524e+02	1.657003168518173197e+01
1.305983507541733672e+02	1.710619115277901514e+01
1.324784543807477348e+02	1.407815695194380723e+01
1.248530710785611575e+02	1.727514676397452220e+01
1.381940614667987575e+02	3.200867003441495218e+00
1.499573540046073106e+02	1.080357474089136538e+01
1.139316239723765563e+02	5.869439786317935059e+00
1.478318065526370333e+02	1.712621095830452589e+01
1.530146409320799705e+02	1.633213665653399715e+01
1.233806683836624671e+02	3.493422349964142803e+00
1.520792054314900099e+02	7.398892661032164142e+00
1.413409850969080424e+02	1.478959190761687914e+01
1.196445481785048628e+02	1.137358608170533714e+01
1.287856326475747721e+02	3.931238177869284200e+00
1.218140357485080756e+02	3.587767694366230220e+00
1.479325146072006874e+02	1.331015259192470168e+01
1.239662535315210476e+02	1.287880798136795946e+01
1.293997991890118442e+02	9.949599481125675382e+00
1.217577346425658504e+02	7.033164018478998081e+00
1.479117893184454147e+02	1.344858087034695693e+01
1.235890501921453932e+02	3.466309173052771087e+00
1.338210369883640567e+02	6.743606582984018161e+00
1.490900183833056190e+02	3.422029956288781705e+00
1.303977166378180357e+02	1.341466098002389273e+01
1.546654543403685977e+02	1.345532212260042115e+01
1.448824187946922279e+02	2.249596541941040861e+00
1.508142339472772164e+02	1.195282104553764668e+01
1.500819948337240533e+02	1.345455318948157597e+01
1.470691258723024077e+02	1.438398380695482892e+01
1.507802389391446809e+02	6.751094119889394563e+00
1.492171706118258498e+02	1.135960801526595532e+01
1.322079847044323628e+02	9.017546748785960631e+00
1.543471542074829586e+02	1.423478175528910228e+01
1.525417741931192381e+02	1.555887851426066426e+01
1.234470143223864511e+02	1.115189949637971134e+00
1.495064585491055880e+02	6.909232464596538392e+00
1.389073366268718246e+02	1.363543547934049904e+01
1.138465723303396544e+02	3.137581191821928961e+00
1.394597905128898958e+02	5.566890501357386611e+00
1.166547349263771878e+02	1.242715934545813816e+01
1.363020435813560880e+02	1.089499723784402896e+01
1.171649694659218284e+02	1.175781616802919771e+01
1.219950049566971870e+02	8.322247025515949304e+00
1.320759725098327806e+02	1.037829164325190590e+01
1.179035385342920250e+02	8.600195024470984606e+00
1.510284378977072492e+02	9.018400583336175558e+00
1.541657058016173778e+02	1.332813251383859132e+01
1.131393732424670446e+02	1.596174513253035165e+01
1.240377992970062166e+02	1.735702003671965310e-01
1.358035930811779792e+02	3.361220393799578599e+00
1.412750211305089749e+02	9.243092394707307591e+00
1.545727925341334981e+02	1.668920803496840577e+01
1.276713590224563433e+02	9.257366821035265758e+00
1.486987267879271712e+02	6.388780883259646437e+00
1.290359342583305420e+02	1.652137260734452795e+01
1.425070532496259261e+02	1.382581197618983104e+01
1.177698290490833699e+02	1.009591094077829077e+01
1.209235394346232937e+02	8.309732746933022440e+00
1.490484466349286095e+02	3.117681441332138093e+00
1.286623897581156086e+02	1.632065792933213189e+01
1.504901446992025456e+02	8.752295817949528711e+00
1.447788019234563137e+02	3.186627084493249829e-01
1.140167148079262063e+02	4.700522694385083078e-01
1.523884959261332028e+02	1.493563453255213958e+01
1.337728690806542033e+02	1.542227523257434463e+01
1.402694265540114600e+02	1.170201908561626603e+01
1.524436393970759980e+02	9.327232995987063902e+00
1.528163629344637116e+02	5.593024229800072966e+00
1.369336633280876754e+02	3.273289951072832160e+00
1.285777912279984889e+02	1.135866247782628413e+01
1.259177860149507495e+02	4.656471363354268256e+00
1.406147377113873915e+02	3.597011419986733127e+00
1.368378803218864448e+02	1.097018650360953806e+01
1.357670049303479800e+02	8.186894620328709848e+00
1.451694772173664774e+02	7.130735115144933189e+00
1.202410327931981442e+02	1.416298389053438811e+01
1.212510059791241730e+02	4.405242139734853346e+00
1.289238578028380857e+02	1.147225838024075806e+01
1.508500396929447618e+02	7.979181364560011147e+00
1.152060538601142241e+02	1.703027817237205355e+01
1.429305243029116639e+02	3.149891699911563148e+00
1.477865279014339421e+02	1.073131997108378499e+01
1.343911384229435555e+02	7.599485251256344220e+00
1.337288090365142637e+02	9.579700214582405060e-01
1.195317135453023525e+02	3.871677287653553012e+00
1.269246066972145570e+02	1.635132422336694802e+01
1.199044591054620810e+02	1.498608538043500893e+01
1.343929290638718328e+02	1.712523701443384283e+01
1.156720773710226950e+02	6.518559612936215553e-01
1.383343075134924902e+02	1.900267484946335017e+00
1.243241871117646582e+02	1.497905939761659333e+01
1.242690999051248042e+02	1.640593948568859162e+01
1.509323042055190740e+02	8.923826061524927411e+00
1.297614504301518537e+02	7.601725817662817519e+00
1.527695981683453397e+02	1.753504824979031085e+01
1.422662579786189667e+02	1.756727839456966223e+01
1.375265362637006490e+02	6.822677046947304369e+00
1.266886413369288249e+02	2.181336726578029239e+00
1.523933881937589376e+02	1.718667505978357113e+01
1.425714218752426063e+02	8.487984904058230029e+00
1.186697722371064856e+02	1.695337522549749210e+01
1.343167553257409566e+02	1.146292741858407638e+01
1.430383170271507254e+02	1.172863301434295380e+01
1.251747693842901015e+02	1.333233528047636085e+01
1.378621646645566159e+02	2.273952952138336592e+00
1.186168583667160306e+02	1.602046447960507436e+01
1.361164316052485788e+02	9.863609206350547609e+00
1.450760240467801907e+02	1.569058027409217537e+01
1.401520618016040771e+02	1.959984684453137227e+00
1.449502517842862801e+02	2.526722121155429157e-01
1.302288667260285422e+02	7.486180834842570242e+00
1.366915824554156700e+02	1.025488300814127918e+01
1.521854766226282436e+02	8.194617577163100464e+00
1.231545526467046869e+02	1.380157614292714818e+01
1.369217972989620193e+02	1.628837809291605865e+01
1.332557325946550009e+02	1.280430708610645674e+01
1.490545870567030704e+02	4.963078979951418113e+00
1.397712007227518143e+02	1.640241119877973830e+00
1.232086401767257939e+02	1.264366803031771092e+01
1.355535899613262245e+02	5.414801612294189326e+00
1.399305981319148202e+02	2.216058605815326654e+00
1.252266757351962951e+02	3.436772062932353489e+00
1.533275814008629823e+02	1.276109844043378061e+01
1.375112928711858444e+02	5.392661519186747299e+00
1.427840962383248495e+02	1.255650092271409335e+01
1.140663086329219453e+02	1.333853078398709791e+01
1.521672955264452867e+02	1.246734471806668232e+01
1.524873432212644957e+02	1.030196566676534431e+01
1.177053616675277254e+02	1.388691420823389500e+01
1.147015049072749378e+02	3.199149566655434263e-01
1.516338882725885924e+02	1.518010405126578100e+01
1.263741225215658801e+02	1.194912084934795260e+01
1.523372115602055601e+02	1.394442695131859544e+01
1.246699240570072220e+02	9.705249060784105763e-01
1.490985712305177344e+02	1.213085714453301911e+01
1.311339758726824698e+02	9.183789467310560894e+00
1.384500061627581999e+02	1.202390135063288135e+01
1.385202824691105548e+02	1.379292647807993255e+01
1.385862812221371598e+02	7.986569485063840013e+00
1.195336271810080291e+02	1.143016153945126057e+01
1.292262925379447722e+02	1.333511192117676458e+01
1.240573009045629931e+02	6.922933919808982317e+00
1.314901095755512586e+02	1.188671706818407081e+01
1.433119516733729029e+02	6.905776038670845551e+00
1.479770251077071634e+02	5.330317320950739735e+00
1.135579020094325529e+02	6.743995065147180945e+00
1.357716055297894968e+02	1.392183568899296908e+01
1.400682065967112351e+02	2.962660061439835957e+00
1.291407827595110689e+02	9.601504220628694242e+00
1.231946838353164537e+02	1.590134270403168948e+01
1.413131535852853631e+02	5.565132661352842014e+00
1.197930461004809501e+02	3.452571929130019424e+00
1.401192099777826741e+02	3.894107885492966492e+00
1.172281996278085927e+02	4.860640117173130825e+00
1.240734562736295601e+02	9.248704234708258198e+00
1.498776683450988116e+02	4.920259455691474493e+00
1.457497863117238808e+02	1.074015234333148605e+01
1.258951335369728923e+02	4.753141683923563399e+00
1.181901984199857623e+02	1.539114973478501547e+01
1.477175465393445677e+02	6.119044664604611938e+00
1.341130324570390826e+02	7.638329410297363786e+00
1.503640356605953627e+02	2.435921738326932040e+00
1.505846110838733694e+02	1.039075627011233749e+01
1.441380525069268117e+02	2.003788977991237452e+00
1.491417107101456736e+02	7.333360539158539027e+00
1.445823205626790582e+02	1.530949574603991259e+01
1.190974617239356803e+02	2.037983120903217593e-01
1.266123518236638006e+02	8.339163703243113179e-01
1.483940572719112652e+02	1.175562890590066267e+01
1.181011224888345765e+02	6.433835449558523933e+00
1.291099975330247958e+02	3.764567574367900349e+00
1.190192583162438922e+02	1.352102994572816996e+01
1.195821216101737718e+02	1.579992669298776775e+01
1.301843453622865638e+02	5.954069279808605231e+00
1.178700951605953833e+02	1.512279704692100069e+01
1.153062477822884944e+02	6.469041573331222317e+00
1.365231706341407687e+02	6.836901922202810233e+00
1.173405947310156421e+02	1.720560335797616602e+01
1.191522262910570475e+02	4.141964273241331013e-02
1.362663522393106348e+02	4.486558588536178505e+00
1.307264056205805502e+02	1.527894375661054838e+01
1.329657279719367864e+02	1.003823270099419318e+01
1.481857217414626007e+02	5.960406769245461867e+00
1.284332625913880577e+02	4.574931520403996643e+00
1.327593930001824276e+02	1.110696151408522780e+01
1.314658946449373786e+02	1.775093362047011780e+01
1.508498437597104385e+02	1.032311325143438596e+00
1.249098559325387612e+02	2.287361302027037246e-01
1.462353443309562238e+02	3.567975385456075177e+00
1.151627411696826897e+02	1.193227456052225577e+01
1.524604000992368924e+02	1.366978257840514566e+01
1.439416841004717753e+02	1.028854471692677208e+01
1.160365951107527849e+02	1.249544225413913523e+01
1.543067969046974213e+02	9.788932674985584281e-02
1.503080034460534193e+02	1.343505859768717947e+01
1.367112265973809997e+02	2.529468170986513553e-01
1.397307587051130042e+02	1.208010631992997830e+01
1.534626273065482849e+02	1.497068288779882295e+01
1.361514658985513222e+02	1.041498906098881072e+01
1.491296944188975147e+02	4.355694915512255960e+00
1.302417974753990109e+02	1.300693320035087552e+01
1.213761366768040233e+02	1.714475061157486735e+01
1.341733181374783896e+02	2.557139521809335680e-01
1.182822909185786102e+02	7.394130475795074986e+00
1.163446096680127653e+02	5.544341045885685659e+00
1.493950311058558214e+02	4.635258649238233275e+00
1.329773683446589985e+02	1.311516187748927464e+01
1.216715145658316146e+02	8.560172613569067224e+00
1.269438985291058799e+02	3.574575069192016397e+00
1.546251928968919174e+02	6.675915328128321669e+00
1.261001157993353274e+02	1.672637986379302788e+01
1.502124027509765085e+02	8.673211918663435993e-01
1.274592975186894819e+02	1.680962210000265955e+01
1.177855561060294178e+02	1.505518835933110822e+01
1.370834879405849733e+02	6.891822607379796128e-01
1.296601261396144480e+02	1.017124934399585889e+01
1.268152646382419135e+02	3.518950037948298970e+00
1.194122741530734544e+02	1.555680879489000912e+00
1.283196370903641537e+02	5.855129260126371804e+00
1.420536493132989335e+02	1.924257351103693114e+00
1.203474879032639535e+02	1.676144557566416182e+01
1.383110192473423012e+02	1.467587285270012920e+01
1.378786468247150481e+02	1.343073736398296703e+01
1.389530599049172679e+02	1.205304888408211461e+01
1.544654665060184016e+02	6.787812097372710740e-01
1.477737590290197431e+02	1.772990936752351487e+01
1.353418433968537897e+02	1.363432146166462999e+01
1.215974922762211747e+02	1.397097179663936295e+01
1.384278392984458321e+02	5.861765559790731217e+00
1.241792855354876224e+02	1.214006587725629416e+01
1.153144173780182058e+02	1.107004650334001816e+01
1.412697834730873581e+02	6.138298988786859312e+00
1.195422810896220653e+02	7.597658250382331779e+00
1.392246160484982056e+02	7.269572263511520083e-01
1.282613095465854940e+02	1.328442542493718470e+01
1.401437364359892115e+02	1.407281776557326580e+01
1.195305327139757452e+02	4.110054437592274290e+00
1.138124477000822168e+02	1.026049090488348270e+01
1.474008431747426755e+02	1.727276727803806011e+01
1.172979538908671202e+02	6.422268227140480512e+00
1.530855509992815655e+02	1.145092416720553175e+01
1.294781009515058372e+02	1.244411222513199577e+00
1.221562373339403251e+02	4.680679040229445143e+00
1.372681009393047589e+02	5.676391458920408084e+00
1.537433731050589643e+02	1.702460510558339379e+01
1.244932563601366695e+02	1.645329531929568745e+01
1.199993379036220205e+02	1.478857601719504444e+01
1.326434538832880605e+02	1.561407627616968341e+01
1.297102126769729011e+02	7.008168809156209100e+00
1.545028344851754696e+02	1.014676612628068675e+01
1.223602471163340368e+02	1.421544243040529665e+01
1.369833656942935249e+02	1.719388764478887310e+01
1.489933096420243714e+02	3.399642659388685484e+00
1.287668870427748971e+02	7.179472946700862224e+00
1.544735480420919487e+02	1.496903937153443032e+01
1.373280592795658208e+02	1.706135820186640117e+01
1.385442556836639483e+02	2.343670529757615917e+00
1.365643133499653175e+02	5.257074652063004727e+00
1.248472960662477647e+02	1.001054401162545560e+01
1.136298576439228469e+02	1.519202755647217407e+00
1.186062858060138296e+02	1.774852426586132026e+01
1.503709371993552679e+02	5.729435070898206916e+00
1.516175494881476880e+02	1.630836710208967943e+01
1.191407481375406547e+02	5.344988011055284982e-01
1.259693972395478738e+02	1.216938959169105594e+01
1.270015965202672419e+02	2.769521182494450340e+00
1.343037592030253506e+02	1.246703969394524947e+01
1.201898570380345461e+02	4.745379474150971610e+00
1.192015906470939512e+02	2.168719945414026906e+00
1.529791161920121567e+02	6.523007598132040563e+00
1.483923318797506568e+02	1.988935615248889954e+00
1.300307680534087638e+02	1.149123561650266545e+01
1.284166712249038085e+02	2.109204859181981195e-01
1.380805214437749839e+02	1.229167287729400115e+01
1.514554247166381060e+02	1.439146006244113529e+01
1.535554673533666801e+02	3.866666175508019165e+00
1.372856484938862422e+02	8.552526334900889537e+00
1.152154062724284103e+02	1.010654647009997653e+01
1.263861229376016979e+02	1.786506913265193930e+01
1.318395700717449870e+02	6.813557713144722250e+00
1.443973596368599317e+02	6.541299084649375040e+00
1.429924725401724572e+02	1.646829101100136938e+01
1.541796423465921748e+02	2.829581533113525449e+00
1.327748079852354124e+02	1.169503847035272059e+01
1.219624855236282457e+02	3.967812457017421579e+00
1.514647421881142009e+02	3.846107014177103878e+00
1.257537226340819103e+02	1.601949755103899875e+01
1.309026584284173396e+02	3.383706115056486663e+00
1.353430565315585454e+02	1.136392368860554214e+01
1.525544036491791076e+02	1.578600826759339704e+01
1.400655923580609397e+02	1.282733028082646420e+01
1.313523477018606798e+02	1.503072251120106007e+00
1.423506967207968614e+02	6.848375050930538777e+00
1.447992094973567987e+02	1.114461467664525962e+01
1.250578505956256237e+02	3.853131767023160403e+00
1.402208371349574350e+02	3.305103576124080789e+00
1.528086942684303722e+02	5.541537375181568414e+00
1.332267635438022637e+02	3.765094581610999303e+00
1.244904877797133622e+02	8.436776552886637859e+00
1.216687062404178334e+02	2.487800908478022599e+00
1.425035502331220982e+02	3.889133866936315798e+00
1.384425930900222852e+02	1.587843188095115110e+01
1.349693183189994841e+02	4.985478012095478917e+00
1.451257864303823339e+02	4.310031558657283490e+00
1.365116137559861613e+02	6.648350537858641829e+00
1.515526920344547648e+02	8.806231405068189133e+00
1.342010099268695171e+02	1.110233577578869379e+01
1.274983827113937025e+02	1.563484117343525170e+01
1.233232875158038127e+02	8.864268762912258737e+00
1.346358766794262181e+02	1.401931517794693427e+01
1.327789329809214394e+02	1.320272182224554491e+01
1.453666031423140339e+02	6.311300972504035878e-01
1.155797768117909641e+02	1.717601094213134338e+00
1.239641731180368254e+02	5.531420022501088773e+00
1.414896131421068617e+02	5.241452011700157065e+00
1.455518725384747540e+02	1.742669801015939868e+01
1.223360958367836133e+02	1.719721675716101572e+01
1.464530623893158747e+02	3.959790000234302720e+00
1.486797059644721912e+02	1.393544106075734490e+01
1.183575137229496477e+02	9.238518105086219734e+00
1.346654060503983601e+02	1.590521562132230571e+01
1.132076995122082081e+02	1.240454613804180006e+01
1.526526421483916920e+02	1.945220617173545552e+00
1.432317924460066934e+02	1.284684570144148452e+01
1.191375167594205635e+02	6.029740428775383521e+00
1.447238748595920299e+02	3.074605293210771251e+00
1.537451703181712617e+02	6.387789361059507343e+00
1.363997447593358459e+02	2.801201375908062730e+00
1.407514081906815875e+02	1.467912562269526511e+01
1.168755086364027846e+02	1.353103355702634580e+01
1.417566925236519637e+02	1.519289498894147528e+01
1.406593558053572792e+02	1.669888299734330772e+01
1.299315307011628704e+02	6.665634938030295054e+00
1.240330021097447712e+02	7.271126272369368593e+00
1.213499463836187857e+02	8.852359503257279272e+00
1.285445873705752717e+02	1.108000450246444224e+00
1.333075211838651626e+02	6.836376121413133333e+00
1.473504580581731034e+02	8.990269828554916742e+00
1.334681474657468812e+02	1.100164569903525091e+01
1.394691803685056470e+02	6.375667737164592452e+00
1.544043441575977909e+02	8.766748305933582230e+00
1.403555672037428508e+02	3.604901579656732746e+00
1.192796722137729546e+02	3.447134274414080934e+00
1.202460054213612324e+02	4.722795521950536646e+00
1.467177147314820331e+02	9.085323437293016724e+00
1.396664800585426747e+02	4.576033264560854796e+00
1.482513489816837762e+02	1.228669317961175089e+01
1.191932377247898955e+02	3.839065053400018357e+00
1.135468075814317501e+02	6.859947688741098837e+00
1.408603993815914919e+02	1.022615052760726062e+00
1.480025357293667412e+02	1.224940543683865002e+01
1.459005800670613837e+02	1.345871913554981347e+01
1.391370930753221273e+02	8.712403425339351415e+00
1.211173097831740080e+02	5.997432279503442931e-01
1.517647803762272076e+02	1.180342473120217939e+01
1.263324193493499195e+02	6.532840673964474654e+00
1.285904190170174957e+02	1.202190998174683401e+01
1.165860955778567956e+02	2.587565079786959377e+00
1.148512930884160141e+02	2.201894799629015242e+00
1.133966623251835557e+02	7.997495614905609784e+00
1.451934675682786064e+02	3.569117516937934109e+00
1.430704024239690852e+02	1.851672712857638237e+00
